,rank,mean_importance
utr5_log_size,10.0,389.5724314058129
cds_log_size,1.0,7370.4507048652895
utr3_log_size,7.0,486.60903263208985
tx_log_size,11.0,386.1808441729485
A_percent5,21.0,254.16690810896174
T_percent5,31.0,202.75965871290316
G_percent5,80.0,89.65982523402081
C_percent5,59.0,125.51605803015866
A_percent3,35.0,183.28055048068114
T_percent3,5.0,516.7672314493717
G_percent3,26.0,220.05353486371945
C_percent3,23.0,244.38180611175073
codon_freq_AAA,6.0,508.193483225077
codon_freq_AAT,65.0,117.68315066382101
codon_freq_AAG,9.0,414.9267786266683
codon_freq_AAC,61.0,122.77088516226297
codon_freq_ATA,64.0,117.70896740899056
codon_freq_ATT,40.0,174.94226680722417
codon_freq_ATG,56.0,136.59970629343505
codon_freq_ATC,38.0,180.4700720882114
codon_freq_AGA,41.0,170.75753229117092
codon_freq_AGT,67.0,116.23930487157423
codon_freq_AGG,20.0,257.6688957688175
codon_freq_AGC,19.0,277.2378554702182
codon_freq_ACA,91.0,74.42494899834259
codon_freq_ACT,104.0,62.350506191276295
codon_freq_ACG,114.0,52.64279572846769
codon_freq_ACC,46.0,159.74128481787216
codon_freq_TAA,69.0,114.032069442242
codon_freq_TAT,84.0,81.9573553550847
codon_freq_TAG,155.0,23.51377775559697
codon_freq_TAC,93.0,71.02534729223463
codon_freq_TTA,39.0,178.0464033395052
codon_freq_TTT,97.0,69.08160864273204
codon_freq_TTG,107.0,59.33846133321146
codon_freq_TTC,81.0,88.03241493011578
codon_freq_TGA,119.0,49.61852139724961
codon_freq_TGT,37.0,180.69657812703258
codon_freq_TGG,78.0,92.54206476984899
codon_freq_TGC,53.0,144.2385486132359
codon_freq_TCA,47.0,152.92306141517585
codon_freq_TCT,96.0,69.92908403333983
codon_freq_TCG,108.0,58.79521498631073
codon_freq_TCC,63.0,118.41139259327062
codon_freq_GAA,42.0,168.8337730895492
codon_freq_GAT,16.0,305.120011491602
codon_freq_GAG,74.0,103.16321293888967
codon_freq_GAC,85.0,81.41561937792392
codon_freq_GTA,117.0,50.46341031197505
codon_freq_GTT,86.0,80.57390076785903
codon_freq_GTG,88.0,76.57509921751445
codon_freq_GTC,87.0,76.60237014403071
codon_freq_GGA,95.0,70.1409165539319
codon_freq_GGT,18.0,289.5575569658717
codon_freq_GGG,55.0,136.9372866030358
codon_freq_GGC,70.0,113.7209788546532
codon_freq_GCA,98.0,66.67266143643404
codon_freq_GCT,28.0,211.50022863749462
codon_freq_GCG,36.0,183.06888908147812
codon_freq_GCC,75.0,101.3472765670547
codon_freq_CAA,34.0,185.02311388333388
codon_freq_CAT,60.0,125.21726000127913
codon_freq_CAG,94.0,70.53673650203626
codon_freq_CAC,27.0,214.89162326164637
codon_freq_CTA,83.0,83.74165798195556
codon_freq_CTT,99.0,66.24302178708058
codon_freq_CTG,66.0,117.29843787192544
codon_freq_CTC,51.0,148.58882250993312
